Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-374,18,1.059578404,1.63283473,374,0.328341812
rule_number-645,18,1.059730637,1.633047305,645,0.595371485
rule_number-377,18,1.059668141,1.633215229,377,0.32061547
rule_number-837,18,1.059644168,1.63342601,837,0.619167387
rule_number-731,22,1.059703842,1.633667438,731,0.256418705
rule_number-484,18,1.060391371,1.633708446,484,0.260548443
rule_number-389,19,1.059653818,1.633719321,389,0.597559512
rule_number-730,17,1.059804196,1.633883101,730,0.28144297
rule_number-728,18,1.059693465,1.633922395,728,0.319178879
rule_number-325,20,1.059655394,1.634161564,325,0.619462192
rule_number-729,20,1.059752588,1.634276309,729,0.262417346
rule_number-702,18,1.059557586,1.634305056,702,0.307767004
rule_number-373,18,1.059587309,1.634374813,373,0.311025113
rule_number-372,18,1.059711347,1.634668626,372,0.342912704
rule_number-261,17,1.059637116,1.634946421,261,0.56286943
rule_number-381,20,1.059602178,1.635494071,381,0.302934289
rule_number-439,18,1.0597996,1.635685036,439,0.279990852
rule_number-438,17,1.05973282,1.635984269,438,0.278389573
rule_number-496,20,1.060221547,1.636353839,496,0.244269311
rule_number-437,27,1.05973851,1.63726004,437,0.279220968
rule_number-225,17,1.060252438,1.637390059,225,0.611097455
rule_number-700,17,1.059547559,1.63759607,700,0.291346669
rule_number-436,20,1.059787352,1.637772074,436,0.255173296
rule_number-380,19,1.059714608,1.637841029,380,0.361394972
rule_number-376,19,1.05964507,1.637886514,376,0.337153703
rule_number-773,25,1.05955799,1.637890755,773,0.577126682
rule_number-237,18,1.059671147,1.638236284,237,0.267384708
rule_number-701,20,1.059489468,1.638457275,701,0.290963531
rule_number-547,19,1.059640219,1.63855353,547,0.532260358
rule_number-291,18,1.05983472,1.638704957,291,0.53173548
rule_number-197,19,1.059624002,1.638759915,197,0.620552301
rule_number-371,16,1.059720517,1.638953525,371,0.304166943
rule_number-875,416,1.05972425,1.639282447,875,0.64254266
rule_number-483,19,1.06008564,1.639300518,483,0.277474433
rule_number-370,19,1.059728495,1.639524881,370,0.255017161
rule_number-874,21,1.059652121,1.639929381,874,0.302649915
rule_number-709,18,1.059672521,1.640018818,709,0.62352711
rule_number-239,22,1.059765694,1.640176308,239,0.254475981
rule_number-238,18,1.059611215,1.640459923,238,0.331496954
rule_number-517,25,1.059633863,1.640619778,517,0.554879487
rule_number-873,53,1.059675253,1.640744087,873,0.28183949
rule_number-35,18,1.059620935,1.640987021,35,0.511594534
rule_number-131,20,1.060070993,1.64103263,131,0.485195786
rule_number-235,18,1.059795267,1.641167895,235,0.280780345
rule_number-831,17,1.059475263,1.641297875,831,0.2413183
rule_number-435,18,1.059695523,1.641394901,435,0.283588529
rule_number-382,18,1.059637576,1.641824757,382,0.261809945
rule_number-163,15,1.059707758,1.641880183,163,0.548288465
rule_number-251,18,1.059955407,1.642000376,251,0.250727504
rule_number-872,32,1.059824886,1.642326447,872,0.304944873
rule_number-803,29,1.059714873,1.642573726,803,0.543757021
rule_number-434,24,1.059759043,1.642731146,434,0.284662634
rule_number-247,20,1.05994738,1.642748458,247,0.251465827
rule_number-275,19,1.05959977,1.642768104,275,0.582628191
rule_number-221,18,1.059822433,1.642799597,221,0.27278167
rule_number-453,18,1.059673777,1.643026187,453,0.625673652
rule_number-222,18,1.05970231,1.643108143,222,0.252231598
rule_number-531,18,1.059696389,1.64354894,531,0.574284375
rule_number-236,24,1.059701023,1.643571245,236,0.272455335
rule_number-369,20,1.059701633,1.64358262,369,0.385388732
rule_number-787,17,1.059692527,1.643728014,787,0.589854836
rule_number-245,19,1.059686982,1.643741821,245,0.269768566
rule_number-633,18,1.059548741,1.643768714,633,0.260412097
rule_number-67,17,1.059825601,1.644188259,67,0.490613431
rule_number-220,20,1.059626395,1.644302323,220,0.331230938
rule_number-366,18,1.059672638,1.644612357,366,0.372111171
rule_number-830,17,1.059436047,1.644753634,830,0.252737433
rule_number-467,20,1.060091213,1.644872584,467,0.34871316
rule_number-549,20,1.059702855,1.644887691,549,0.644251823
rule_number-805,21,1.059701659,1.645013449,805,0.645464122
rule_number-634,20,1.059557713,1.645037167,634,0.271479607
rule_number-367,21,1.059697581,1.645057508,367,0.312450022
rule_number-234,18,1.059713652,1.645339647,234,0.300077707
rule_number-323,18,1.059780877,1.645390957,323,0.511284649
rule_number-675,17,1.05971751,1.645609207,675,0.556458473
rule_number-147,18,1.059793832,1.645726256,147,0.600563228
